
影视资源交流群：https://t.me/mejo168

WEB港湾(影视专用),#genre#
河北卫视,http://113.56.95.69:53765/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://39.134.65.173/PLTV/88888888/224/3221225961/1.m3u8
河北卫视,http://111.29.9.37:6610/000000001000/1000000002000017118/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3d44740039027301acf8341d7361ab59
河北卫视,http://60.172.130.146:352/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://39.134.65.173/PLTV/88888888/224/3221225970/1.m3u8
四川卫视,http://111.29.9.37:6610/000000001000/1000000002000016825/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
四川卫视,http://113.195.8.194:9901/tsfile/live/0123_2.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://39.134.65.173/PLTV/88888888/224/3221225978/1.m3u8
海南卫视,http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南卫视,http://sport.pendy.dpdns.org/migu/947472502?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
天津卫视,http://39.134.65.173/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://111.29.9.38:6610/000000001000/5000000004000006827/index.m3u8?channel-id=bestzb&Contentid=5000000004000006827&livemode=1&stbId=3
天津卫视,http://183.131.246.250:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=湖北卫视
湖北卫视,http://39.134.65.173/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://sport.pendy.dpdns.org/migu/947472496?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
广东卫视,http://180.213.174.225:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=广东卫视
广东卫视,http://39.134.65.173/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://111.29.9.36:6610/000000001000/1000000001000028357/index.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1&stbId=3
广东卫视,http://nctv.top/IDOEPpiryt/migu.php?id=gdws
重庆卫视,http://222.134.245.16:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8
重庆卫视,http://183.131.246.250:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://113.195.8.194:9901/tsfile/live/0142_2.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://112.234.23.189:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://59.39.89.130:60901/tsfile/live/0125_18.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://113.15.109.216:59901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://111.29.9.37:6610/000000001000/1000000002000024694/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
云南卫视,http://111.43.126.240:9003/hls/60/index.m3u8
江西卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=江西卫视
江西卫视,http://111.29.9.39:6610/000000001000/5000000004000011210/index.m3u8?channel-id=bestzb&Contentid=5000000004000011210&livemode=1&stbId=3
江西卫视,http://39.135.133.177:80/TVOD/88888888/224/3221225935/main.m3u8
江西卫视,http://sport.pendy.dpdns.org/migu/783847495?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
兵团卫视,http://8.138.7.223/tv/btws.m3u8
兵团卫视,http://39.135.133.178/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,https://stream1.freetv.fun/bing-tuan-wei-shi-42.m3u8
甘肃卫视,http://111.29.9.37:6610/000000001000/1000000002000017827/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
甘肃卫视,http://112.234.23.189:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://222.134.245.16:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://123.138.22.30:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://36.32.174.67:60080/newlive/live/hls/30/live.m3u8
深圳卫视,http://111.29.9.38:6610/000000001000/1000000001000009227/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009227&livemode=1&stbId=3
深圳卫视,http://39.135.133.174:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226313/index.m3u8
东南卫视,http://222.134.245.16:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://115.149.139.141:10001/tsfile/live/1035_1.m3u8?blog.ntnas.top
东南卫视,http://111.29.9.37:6610/000000001000/1000000002000009263/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
东南卫视,http://113.15.109.216:59901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://223.241.247.214:9901/tsfile/live/0137_1.m3u8
广西卫视,http://222.134.245.16:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://113.15.109.216:59901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://111.29.9.37:6610/000000001000/1000000002000019837/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT
广西卫视,http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
广西卫视,http://113.195.8.194:9901/tsfile/live/0113_2.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=878282ad9e8c60a3481735082523e7c3&wsTime=1747274126
河南卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=河南卫视
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://sport.pendy.dpdns.org/migu/790187291?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
河南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=45c69d&tk=6949f8ce7202
青海卫视,http://60.223.224.176:8888/newlive/live/hls/38/live.m3u8?
青海卫视,http://39.134.65.76/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视,http://sport.pendy.dpdns.org/migu/947472506?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
陕西卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=陕西卫视
陕西卫视,http://39.134.65.2/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
陕西卫视,http://111.43.126.240:9003/hls/68/index.m3u8
陕西卫视,http://sport.pendy.dpdns.org/migu/738910838?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
内蒙古卫视,http://154.218.13.88:3328/proxy/?upstream=http://148.135.93.213/live.php?id=内蒙古卫视
内蒙古卫视,http://111.43.126.240:9003/hls/63/index.m3u8
内蒙古卫视,http://60.223.224.176:8888/newlive/live/hls/45/live.m3u8?
内蒙古卫视,http://38827sf80aj6.vicp.fun:9901/tsfile/live/0109_1.m3u8?key=txiptv
山西卫视,http://60.220.202.10:24333/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://61.157.139.15:9901/tsfile/live/2397_1.m3u8
山西卫视,http://119.36.148.115:59901/tsfile/live/0118_1.m3u8
山西卫视,http://101.66.199.75:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://38827sf80aj6.vicp.fun:9901/tsfile/live/0112_1.m3u8?key=txiptv
宁夏卫视,http://111.43.126.240:9003/hls/67/index.m3u8
宁夏卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.57:5140
延边卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=773b3c&tk=6949f8ce7202
延边卫视,http://39.135.133.159/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
康巴卫视,http://39.134.65.65/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
康巴卫视,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://nctv.top/IDOEPpiryt/migu.php?id=dwqws
大湾区卫视,http://sport.pendy.dpdns.org/migu/608917627?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
厦门卫视,http://118.212.71.109:11111/bptv/10000100000000050000000003887454.m3u8
厦门卫视,http://60.174.40.117:85/tsfile/live/0129_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0
厦门卫视,http://220.164.192.48:50085/tsfile/live/1004_1.m3u8
厦门卫视,http://112.123.243.37:50085/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
安多卫视,http://39.134.65.78/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
安多卫视,http://112.122.33.34:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
农林卫视,http://stream.snrtv.com/sxbc-nl-AIRZ03.m3u8
农林卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=158c65&tk=6949f8ce7202
三沙卫视,https://livessws.hnntv.cn/live/ssws_01hnntv.m3u8?_upt=626783981743357501
三沙卫视,https://livessws.hnntv.cn/live/ssws_01hnntv.m3u8?_upt=18df2caf1744908993
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
新疆卫视,http://111.43.126.240:9003/hls/64/index.m3u8
新疆卫视,http://110.53.52.63:8888/newlive/live/hls/37/live.m3u8
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
新疆卫视,http://118.122.189.74:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://222.169.85.8:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://www.lysvc.cc/daili/xztv.php
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=0
西藏卫视,http://111.43.126.240:9003/hls/58/index.m3u8
西藏卫视,http://61.138.128.226:19901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://221.226.215.162:352/tsfile/live/0120_5.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,https://feiyang.wangdu.site/decrypt.php?url=dGJ1Vmttay9mNGovbHZHZFVMdG9IdTVKbmdyRjMzZFZEcDl0T1NKQzNKa29oc2l5Y0JJYks3SkxXSzluN3VZUg==
藏语卫视,http://www.lysvc.cc/daili/xztv.php?id=1



港澳台直播台,#genre#
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
凤凰香港,http://124.95.180.107:80/1.v.smtcdns.net/qitv.fengshows.cn/live/0701phk72.m3u8
凤凰HD,http://124.95.180.107:6718/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pcc72.m3u8
凤凰HD,http://124.95.180.107:80/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pcc72.m3u8
纬来体育,rtmp://60.248.77.83/sat/tv721
纬来体育,rtmp://9hv9.mine.nu/sat/tv721.flv
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbylxw
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
TVBS,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$LR
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森洋片,http://50.7.234.10:8278/ettvwestern/playlist.m3u8?tid=mfdfc048e6c2416337202&ct=17874&tsum=cad39b26202d525ea820bee1d69e545f
CTS华语,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
番薯电视,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
HKviu6,https://smart.pendy.dpdns.org/Smart.php?id=viusix_twn
翡翠台,http://120.198.101.106:9901/tsfile/live/1007_1.m3u8?key=txiptv
翡翠台,http://120.198.95.220:9901/tsfile/live/1004_1.m3u8?key=txiptv
翡翠台,http://v2h.jdshipin.com:80/jade2/jade.stream/chunklist_w100.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
HKC+台,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
美食星球,https://smart.pendy.dpdns.org/Smart.php?id=foodplanet_twn
国兴卫视,http://108.181.20.197/livehttpplay?channel_id=20164
国兴卫视,http://live4play.uk/livehttpplay?channel_id=20164
国兴卫视,http://154.218.13.88:3328/proxy/?upstream=http://108.181.20.197/livehttpplay?channel_id=20164

国际直播台,#genre#
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
伊朗新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
FTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8



体育直播台,#genre#
精品体育,http://111.43.126.240:9003/hls/89/index.m3u8
精品体育,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226328/1.m3u8?
睛彩竞技,http://39.134.65.106/PLTV/88888888/224/3221225897/1.m3u8?
CCTV5体育,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226348/1.m3u8?
CCTV5体育,http://39.134.65.106/PLTV/88888888/224/3221225635/1.m3u8?
五星体育,https://stream1.freetv.fun/wu-xing-ti-yu-2.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-2.m3u8
五星体育,http://180.165.27.97:7088/rtp/239.45.3.210:5140
劲爆体育,http://119.32.12.17:2901/udp/224.1.100.129:11111
劲爆体育,http://183.237.95.108:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://119.32.12.17:2901/udp/224.1.100.34:11111
广东体育,https://stream1.freetv.fun/yan-dong-ti-yu-5.m3u8
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
纬来体育,rtmp://9hv9.mine.nu/sat/tv721.flv
纬来体育,rtmp://60.248.77.83/sat/tv721
CCTV风云足球,http://222.173.108.238:352/tsfile/live/0119_1.m3u8
WWE,https://d2p372oxiwmcn1.cloudfront.net/hls/1080p/playlist.m3u8
迪拜体育,https://svs.itworkscdn.net/smc4sportslive/smc4.smil/playlist.m3u8
NBA,http://170.yfvodcdn.com:19980/live/nbaTV2/hls.m3u8
NBA经典,http://sport.pendy.dpdns.org/migu/788815380?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
只老师谈NBA,http://www.douzhicloud.site:35455/douyu/9367541
ESPN,http://38.96.178.201:80/live/ESPNHD/index.m3u8
爱尔达体育2台,http://50.7.234.10:8278/eltasport2_twn/playlist.m3u8?tid=MB2B3966739039667390&ct=19249&tsum=20bdbd3a22909e8d89aabe7a923c8c5b
五大联赛经典,http://sport.pendy.dpdns.org/migu/780288994?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
Sports,http://sport.pendy.dpdns.org/migu/654102378?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA






综艺直播台,#genre#
金牌综艺,http://111.29.9.42:6610/000000001000/1000000004000026167/index.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=3
金牌综艺,http://39.135.135.28:80/PLTV/88888888/224/3221225525/1.m3u8
超级综艺,http://111.29.9.34:6610/000000001000/1000000001000025771/index.m3u8?channel-id=ystenlive&Contentid=1000000001000025771&livemode=1&stbId=3
超级综艺,http://111.29.9.35:6610/000000001000/1000000004000023658/index.m3u8?channel-id=ystenlive&Contentid=1000000004000023658&livemode=1&stbId=3
欢乐综艺,http://huanqiuzhibo.cn/manifest/douyu.php?id=131977
台湾综艺,http://www.douzhicloud.site:35455/huya/29982606
国内综艺,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=dc9c86&tk=6949f8ce7202


纪录片直播台,#genre#
求索-科学,http://39.134.65.106/PLTV/88888888/224/3221225728/1.m3u8?
求索-动物,http://39.134.65.106/PLTV/88888888/224/3221225730/1.m3u8?
求索-生活,http://39.134.65.106/PLTV/88888888/224/3221225715/1.m3u8?
求索-记录,http://39.134.65.106/PLTV/88888888/224/3221225713/1.m3u8?
行星地球,http://zzy789.xyz/douyu1.php?id=454867
纪录片轮播1台,https://feiyang.wangdu.site/decrypt.php?url=VGxlK0xUdE5HQ0d2enF2OG1md2RKSEhnZ3R5UmtsV3QwRUd6T0RxM0p5M3pUZFhKbVl6ZVgxWTB6dXdCRm1JaQ==
纪录片轮播2台,http://www.douzhicloud.site:35455/douyu/8834003
纪录片轮播3台,http://www.douzhicloud.site:35455/douyu/9663833

